korean,actual translation,Google translation,Microsoft translation,DeepL translation
그리고 저 움직이는 그래픽이 혁신을 가져올 수 있다고 말씀드렸습니다.,And that animated graphics can make a difference.,And I told you that those moving graphics could bring innovation.,And I told you that moving graphics can be innovative.,And I told you that those moving graphics can be transformative.
많은 것들이 바뀌고 있습니다. 오늘 UN 통계부 홈페이지에 가보시면 5월 1일까지 UN의 모든 데이터베이스에 접근할 수 있다고 나와 있습니다.,"Things are changing and today, on the United Nations Statistic Division Home Page, it says, by first of May, full access to the databases.","Many things are changing. If you go to the UN Statistics Department website today, it says you can access all of the UN's databases until May 1st.","A lot of things are changing. If you go to the website of the UN Department of Statistics today, it says that you can access all of the UN's databases until May 1.","A lot of things are changing. If you go to the UN Statistics Division homepage today, it says that all of the UN's databases will be accessible by May 1."
화면으로 몇가지 이미지들을 여려분과 나누어 보지요.,And if I could share the image with you on the screen.,Let’s share some images with you on the screen.,Let's share some images with you on the screen.,Let's share some images with you on the screen.
세가지 일들이 일어났습니다.,So three things have happened.,Three things happened.,Three things happened.,Three things happened
UN이 통계자료들을 공개했고 우리는 새로운 버젼의 소프트웨어를 인터넷에 사용 가능하도록 해 놓았습니다. 그래서 여러분은 이제 굳이 다운로드해서 쓰지 않으셔도 됩니다.,"U.N. opened their statistic databases, and we have a new version of the software up working as a beta on the net, so you don't have to download it any longer.","The United Nations has released statistical data and we have made new versions of our software available on the Internet. So, you no longer need to download and use it.","The UN has released the statistics, and we have made a new version of the software available on the Internet. So you don't have to download and use it anymore.","The UN has released the statistics and we've made a new version of the software available on the internet, so you don't have to download it to use it."
제가 작년에 여러분들이 무엇을 보셨는지 정리해 보겠습니다.,And let me repeat what you saw last year.,Let me summarize what you all saw last year.,Let me summarize what you all saw last year.,Let me summarize what you've seen over the last year.
이 원들이 국가들입니다.,The bubbles are the countries.,These circles are the countries.,These circles are the nations.,These circles are the countries.
"여기는 출산율, 여성 한명당 자녀 수이죠 그리고 저쪽은 평균수명이에요.",Here you have the fertility rate -- the number of children per woman -- and there you have the length of life in years.,"Here's the fertility rate, the number of children per woman, and over there is the average life expectancy.","This is the fertility rate, the number of children per woman, and the average life expectancy over there.","This is the fertility rate, the number of children per woman, and that's life expectancy."
"이게 1950년입니다. 저쪽이 선진국들 이고요, 이쪽이 개발도상국가들 입니다.","This is 1950 -- those were the industrialized countries, those were developing countries.","This is 1950. Those are the developed countries, and these are the developing countries.","This is 1950. Over there are developed countries, and here are developing countries.","This is 1950. That's the developed countries, and this is the developing countries."
"그시절엔 ""우리""와 ""그들""이 있었고","At that time there was a ""we"" and ""them.""","Back then, there was “us” and “them”.","In those days, there were ""us"" and ""them"",","Back then, there was ""us"" and ""them"" and"
세계에는 정말 큰 격차가 있었습니다.,There was a huge difference in the world.,There was a really big gap in the world.,There was a really big gap in the world.,There was a really big gap in the world.
"하지만 그 격차는 변했고, 꽤 잘 진행되어 왔지요.","But then it changed, and it went on quite well.","But that gap has changed, and it's been going pretty well.","But that gap has changed, and it's been going pretty well.","But that gap has changed, and it's been going pretty well."
지금부터 무슨일이 일어났는지 보겠습니다.,And this is what happens.,Let's see what happened now.,Let's see what happened from now on.,Let's see what happened.
"중국이 저 빨간 큰 원입니다, 보이시지요.","You can see how China is the red, big bubble.","China is that big red circle, you can see it.","China is that big red circle, you can see it.","China is that big red circle, you see."
저기 파란원은 인도입니다.,The blue there is India.,The blue circle over there is India.,The blue circle over there is India.,That blue circle over there is India.
저는 올해에는 조금 더 깊이있게 이들이 정말로 어떻게 변화되었는지 보여드리려고 합니다.,And they go over all this -- I'm going to try to be a little more serious this year in showing you how things really changed.,"This year, I want to go a little deeper and show you how they have really changed.","This year, I'm going to go a little deeper and show you how they've really changed.","This year, I'm going to go a little deeper and show you how they've really changed."
"보시면, 아프리카가 이 밑쪽에 확연한 문제거리로 보이네요, 그렇죠?","And it's Africa that stands out as the problem down here, doesn't it?","If you look at it, Africa looks like a definite problem down here, doesn't it?","If you look at it, Africa seems to be a clear problem at the bottom of this, right?","So you can see, Africa is definitely a problem down here, right?"
"여전한 대가족 체계와, HIV 전염이 이러한 국가들을 아래쪽에 존재하게 합니다.","Large families still, and the HIV epidemic brought down the countries like this.",Remaining extended family systems and HIV transmission keep these countries in the dark.,The existing large family system and HIV transmission keep these countries at the bottom.,Extended family systems and HIV transmission still exist at the bottom of these countries.
"이것이 우리들이 작년에 보았던 것이고, 이것은 미래에는 어떻게 될지 본 것입니다.","This is more or less what we saw last year, and this is how it will go on into the future.","This is what we saw last year, and this is what we see in the future.","This is what we saw last year, and this is what we saw in the future.","This is what we saw last year, and this is what we see in the future."
그런데 이것이 가능한가요?,"And I will talk on, is this possible?",But is this possible?,But is this possible?,But is this possible?
왜나하면 여러분이 보고계시는 통계는 존재하지도 않은데요,"Because you see now, I presented statistics that don't exist.",Because the statistics you are looking at don't even exist.,Because the statistics you are looking at do not even exist,"For some reason, the statistic you're seeing doesn't even exist."
이것이 우리의 현재입니다.,Because this is where we are.,This is our present.,This is our present.,This is where we are now.
앞으로 이렇게 된다는 것이 가능할까요?,Will it be possible that this will happen?,Is it possible for this to happen in the future?,Is it possible for this to happen in the future?,Is it possible that this will happen in the future?
제 생애를 완전히 추측해버렸는데요,"I cover my lifetime here, you know?",I've completely second guessed my life.,I completely guessed my life,You've completely guessed my life.
저는 한 100살정도 살 것 같습니다.,I expect to live 100 years.,I think I will live to be about 100 years old.,I think I'll live to be about 100 years old.,I'm going to live to be about 100 years old.
그리고 우리는 현재 여기에 있습니다.,And this is where we are today.,And here we are now.,And we are currently here.,And here we are.
자 이제는 세계의 경제 상황이 어떤지 볼까요?,Now could we look here instead at the economic situation in the world?,Now let's see what the world's economic situation is like.,"Now, let's see what the economic situation in the world is like.",Now let's see how the world's economy is doing.
경제 상태를 유아생존율과 비교해서 보여드리고 싶습니다.,And I would like to show that against child survival.,I would like to show you how the economy compares to the infant survival rate.,I would like to show you the economic situation compared to the infant survival rate.,I want to show the state of the economy compared to the infant survival rate.
일단 축들을 바꿉니다.,We'll swap the axis.,"First, change the axes.","First, change the axes.","First, swap the axes."
"여긴 아동사망율이 있습니다. 생존율과 같은 것입니다 저곳에는 네명의 아이들이, 저기에는 200명의 아이들이 죽고있어요.","Here you have child mortality -- that is, survival -- four kids dying there, 200 dying there.","There is a child mortality rate here. It's like a survival rate. There's four kids dying there, and there's 200 kids dying there.","There is a child mortality rate here. It's the same as the survival rate, four children over there, 200 children over there.","Here's the child mortality rate. It's like the survival rate. There's four kids dying over there, 200 kids dying over there."
그리고 이 축에 일인당 총 생산량이 있습니다.,And this is GDP per capita on this axis.,And on this axis we have total production per capita.,And on this axis there is the total output per capita.,"And on this axis, we have total output per capita."
이건 2007년 입니다.,And this was 2007.,This is from 2007.,This is in 2007.,This is 2007.
"제가 시간을 과거로 돌려보면 -- 오래된 통계자료를 넣었는데요 - 과거로 갑니다, 조금더, 조금더, 100년전으로 가니 통계자료가 거의 없네요.","And if I go back in time, I've added some historical statistics -- here we go, here we go, here we go -- not so much statistics 100 years ago.","If I go back in time -- I put in some old statistical data -- I go back a little further, a little further, 100 years ago, and there's almost no statistical data.","If I go back in time -- I put in old statistics - I go back in time, a little more, a little more, go back 100 years, and there is almost no statistical data.","If I go back in time -- I've got some old stats -- I go back in time, a little bit more, a little bit more, 100 years ago, and there are very few stats."
여전히 통계가 있는 국가들이 있기는 합니다.,Some countries still had statistics.,Some countries still have statistics.,There are still countries with statistics.,There are some countries that still have statistics.
사료들을 들여다 보겠습니다.. 1820년을 보시면 오스트리아와 스웨덴만이 숫자를 쓸 줄 알았나보네요,"We are looking down in the archive, and when we are down into 1820, there is only Austria and Sweden that can produce numbers.","Let's look at the historical records... If you look at the year 1820, it seems that only Austria and Sweden knew how to use numbers.","Let's take a look at the feeds. If you look at 1820, you must have thought that only Austria and Sweden could write numbers","Let's take a look at the history... In 1820, only Austria and Sweden knew how to write numbers."
"하지만 이 두 나라는 이 밑에 위치하고 있습니다, 일년에 한사람당 1000불을 생산했군요.","But they were down here. They had 1,000 dollars per person per year.","But these two countries down here, they produce $1,000 per person per year.","But these two countries are located below this, and they produced $1,000 a year.","But these two countries are down here, they produced $1000 per person per year."
그리고 전체 아이들의 5분의 1을 첫돌이 지나기 전에 잃었습니다.,And they lost one-fifth of their kids before their first birthday.,And one-fifth of all children are lost before their first birthday.,And I lost one-fifth of all children before the first stone passed.,And we lost one-fifth of all children before their first birthday.
전 세계가 그때와 비교해서 얼만큼 발전을 했는지 보겠습니다.,"So this is what happens in the world, if we play the entire world.",Let's see how much the world has developed compared to then.,Let's see how much the world has developed compared to that time.,Let's see how far the world has come since then.
전세계가 천천히 부유해 집니다 그리고 통계자료를 수집합니다.,"How they got slowly richer and richer, and they add statistics.",The world is slowly becoming richer and we are collecting statistical data.,The world is slowly getting richer and collecting statistics.,The world is slowly getting richer and collecting statistics.
"보세요, 통계자료를 수집하면 이렇게 아름답지 않습니까?",Isn't it beautiful when they get statistics?,"Look, isn't it beautiful when you collect statistical data?","Look, isn't it so beautiful when you collect statistical data?","Look, isn't it beautiful when you collect statistics?"
자료의 중요성이 보이시지요,You see the importance of that?,You can see the importance of data.,You can see the importance of data,You can see the importance of the material
"여기보시면, 아이들은 전보다 더 오래 살고있지는 않습니다.","And here, children don't live longer.","As you can see here, children are not living any longer than before.","If you look here, the children are not living longer than before.","As you can see here, children are not living longer than before."
"저번 세기, 특히 1870년대는 유럽의 아이들한텐 아주 나빴지요. 여기 보시는 대부분의 통계는 유럽의 자료입니다.","The last century, 1870, was bad for the kids in Europe, because most of this statistics is Europe.","The last century, especially the 1870s, was very bad for European children. Most of the statistics you see here are from Europe.","The last century, especially the 1870s, was very bad for European children. Most of the statistics you see here are from Europe.","The last century, especially the 1870s, was very bad for children in Europe. Most of the statistics you see here are from Europe."
20세기로 넘어갈 즈음이 되서야 90%이상의 아이들이 첫돌을 넘겼지요.,It was only by the turn of the century that more than 90 percent of the children survived their first year.,"By the turn of the 20th century, more than 90% of children had passed their first birthday.",It wasn't until the turn of the 20th century that more than 90% of children passed their first stone.,"By the turn of the 20th century, more than 90% of children had survived their first birthday."
"인도가 발전합니다, 첫 자료부터요.","This is India coming up, with the first data from India.","India is developing, starting from the first data.","India is developing, from the first data.","India moves forward, from the first material."
"이건 미국입니다 진도가 빠릅니다, 돈도 더 많이 벌고요.","And this is the United States moving away here, earning more money.","This is America. Progress is fast, and you make more money.","This is the United States, it's moving fast, and it's making more money.","This is America, we move faster, we make more money."
조금 후에 중국이 저 구석에서부터 올라오는게 보이실겁니다.,And we will soon see China coming up in the very far end corner here.,"A little later, you will see China coming up from that corner.","In a little while, you will see China coming up from that corner.","A little bit later, you'll see China coming up from that corner."
마오쩌둥이 건강해지면서 중국이 발전합니다 하지만 부자가 되지는 않고 있습니다.,"And it moves up with Mao Tse-Tung getting health, not getting so rich.","As Mao Zedong gets healthier, China develops, but he does not become rich.","As Mao Zedong became healthy, China developed, but he did not become rich.","As Mao grows healthier, China develops, but it doesn't get richer."
"자 마오쩌둥은 여기서 죽고, 덩샤오핑이 부를 가지고 옵니다","There he died, then Deng Xiaoping brings money.","So Mao Zedong dies here, and Deng Xiaoping brings his wealth.","Then Mao Zedong dies here, and Deng Xiaoping brings wealth","Mao dies here, and Deng Xiaoping comes with the wealth."
중국이 이쪽으로 움직이고 있어요,It moves this way over here.,China is moving this way,China is moving this way,China is moving in this direction.
원들이 계속 저 위로 발전하고 있습니다 그리고 이것이 오늘날 세계의 모습입니다.,"And the bubbles keep moving up there, and this is what the world looks like today.",The circles keep developing up there and this is what the world looks like today.,The circles continue to develop up there and this is what the world looks like today.,The circles continue to develop up there and this is what the world looks like today.
미국을 한번 보지요.,Let us have a look at the United States.,Let's take a look at America.,Let's take a look at the United States.,Let's take a look at the United States.
"이런 기능이 있어요. 세계에게 ""여기 멈춰있어""라고 말하고","We have a function here -- I can tell the world, ""Stay where you are.""","There is a function like this. Telling the world ""Stay here""","There is a function like this. Tell the world, ""Stop here""","It's like, ""I'm stuck here,"" and you can tell the world, ""Stop."
"제가 미국만 -- 배경은 아직도 봐야죠, 이렇게 해놓고, 우리는 이제 뒤로 가겠습니다.","And I take the United States -- we still want to see the background -- I put them up like this, and now we go backwards.","Let me just look at the United States -- we still need to look at the background, let's put it like this, and now we'll go backwards.","I'm only the United States -- we still have to look at the background, and we're going to go back.","I'm only going to show the U.S. -- I still need to see the background, so we're going to go back."
여기 미국을 보시면 전체적인 추세의 오른쪽에 위치한걸 볼 수 있습니다.,And we can see that the United States goes to the right of the mainstream.,"If you look here in the United States, you can see that it's on the right side of the overall trend.","If you look at the United States here, you can see that it is on the right side of the overall trend.","If you look at the US here, you can see that it's on the right side of the overall trend."
미국은 항상 돈쪽에 있네요.,They are on the money side all the time.,America is always on the money side.,The United States is always on the money side.,America is always on the money side.
"1915년에, 미국은 인도의 이웃이였습니다. 현재, 현대적인 인도요.","And down in 1915, the United States was a neighbor of India -- present, contemporary India.","In 1915, the United States was India's neighbor. Today, modern India.","In 1915, the United States was India's neighbor. Currently, modern India.","In 1915, the United States was a neighbor of India, now, modern India."
"그 뜻은, 미국이 더 부유했지만 현재 인도보다 더 많은 아이들을 잃었다는 뜻입니다, 비례적으로요.","And that means United States was richer, but lost more kids than India is doing today, proportionally.","What that means is that the United States, although richer, is now losing more children than India, proportionally.","That means that the United States was richer, but it lost more children than India is now, proportionally.","That means that the U.S. has lost more children than India now, proportionally, even though it was richer."
"여기를 한번 보세요, 오늘의 필리핀과 비교합니다.",And look here -- compare to the Philippines of today.,"Take a look here, compare it to today's Philippines.","Take a look here, compare it to the Philippines today.","Take a look here, compare it to the Philippines today."
현재 필리핀은 미국이 1차대전을 치르고 있을 때와 거의 비슷한 규모의 경제를 갖고 있네요.,The Philippines of today has almost the same economy as the United States during the First World War.,"Currently, the Philippines has an economy almost the same size as when the United States was fighting World War I.","Currently, the Philippines has an economy of almost the same scale as when the United States was fighting World War I.","Today, the Philippines has almost the same economies of scale as the United States did during World War I."
하지만 미국을 현재로 꽤나 불러와야 미국의 건강수준이 필리핀과 같은 수준이 되는 것을 볼수있어요.,But we have to bring United States forward quite a while to find the same health of the United States as we have in the Philippines.,"However, we would have to bring the United States quite far into the present to see its health level reach the same level as the Philippines.","However, we have to bring the United States to the present quite a bit to see that the health level of the United States is at the same level as that of the Philippines.",But you'd have to bring the U.S. pretty far into the present to see the U.S. reach the same level of health as the Philippines.
"여기 1957년쯤에, 미국의 건강수준이 필리핀의 수준과 같습니다.","About 1957 here, the health of the United States is the same as the Philippines.","Here, around 1957, the level of health in America was equal to that in the Philippines.","Here in 1957, the health level in the United States was the same as in the Philippines.","Here we are in 1957, and the health of the United States is equal to that of the Philippines."
"이것이 바로 많은 사람들이 세계화라고 부르는 드라마인데, 아시아, 중동의 나라들, 중남미 에서 건강, 교육, 인적자원의 수준이 그 나라들의 경제 상황보다 앞서가고 있는 것입니다.","And this is the drama of this world which many call globalized, is that Asia, Arabic countries, Latin America, are much more ahead in being healthy, educated, having human resources than they are economically.","This is the drama that many people call globalization: the level of health, education, and human resources in countries in Asia, the Middle East, and Latin America are outpacing their economic conditions.","This is what many people call globalization, in which the level of health, education, and human resources in Asia, the countries of the Middle East, and Central and South America is ahead of the economic situation of those countries.","This is the drama that many people call globalization, where the quality of health, education, and human resources in countries in Asia, the Middle East, and Latin America are outpacing the economic conditions in those countries."
현재 개발도상국에서 일어나고 있는 일에는 전과는 다른 차이가 있지요.,There's a discrepancy in what's happening today in the emerging economies.,There is something different about what is happening in developing countries now than before.,What is happening in developing countries today is different from before.,There's a difference in what's happening in the developing world now.
사회적 혜택과 사회적 발전이 경제발전보다 더 앞서나가고 있는 것입니다.,"There now, social benefits, social progress, are going ahead of economical progress.",Social benefits and social development are moving ahead of economic development.,Social benefits and social development are ahead of economic development.,Social benefits and social development are outpacing economic development.
1957년의 미국은 오늘의 칠레와 같은 경제수준을 갖고 있었습니다.,And 1957 -- the United States had the same economy as Chile has today.,The United States in 1957 had the same economic level as Chile today.,The United States in 1957 had the same economic level as Chile today.,"In 1957, the United States had the same economic level as Chile today."
"그럼, 우리가 미국을 얼마나 많이 빨리감기 해야 현재 칠레가 가지고 있는 건강수준을 가지게 될까요?",And how long do we have to bring United States to get the same health as Chile has today?,"So, how many times would we have to fast-forward the United States to have the level of health that Chile has now?","So, how fast do we have to wind the United States to get to the level of health that Chile has now?","So, how much would we have to fast-forward the U.S. to have the level of health that Chile currently has?"
아마 한 이정도... 2001년이나 2002년쯤에 와서야 미국은 칠레의 건강수준을 가집니다.,"I think we have to go, there -- we have 2001, or 2002 -- the United States has the same health as Chile.",Maybe something like this... It wasn't until around 2001 or 2002 that the United States had the health level of Chile.,Probably about one or two... It wasn't until around 2001 or 2002 that the U.S. had the same level of health as Chile.,Probably about this much... It wasn't until 2001 or 2002 that the United States had the health of Chile.
칠레가 따라잡네요!,Chile's catching up!,Chile is catching up!,Chile is catching up!,Chile is catching up!
몇년 안에 칠레가 미국보다 더 높은 아동생존율을 가질 수도 있겠습니다.,Within some years Chile may have better child survival than the United States.,"In a few years, Chile may have a higher child survival rate than the United States.","In a few years, Chile may have a higher child survival rate than the United States.","In a few years, Chile may have a higher child survival rate than the United States."
"이렇게 건강수준에서 30, 40년의 시간 차이가 벌어지게 되었다는 것은 정말 큰 변화입니다.","This is really a change, that you have this lag of more or less 30, 40 years' difference on the health.",It is a really big change to see a gap of 30 to 40 years in health levels.,This is a big change that has widened the time gap of 30 or 40 years in terms of health level.,"That's a 30, 40-year gap in health, and that's a really big change."
이런 변화의 바탕에는 교육수준도 있겠고,And behind the health is the educational level.,The level of education is also at the basis of these changes.,The basis of this change is the level of education.,Education is a big part of the reason for this change.
인프라와 관련된 많은 것도 있겠고 그리고 일반적 인적자원도 있겠지요.,"And there's a lot of infrastructure things, and general human resources are there.",There will be a lot of things related to infrastructure and general human resources.,"There are many things related to infrastructure, and there are also general human resources.","There's a lot of things related to infrastructure, and then there's just general human resources."
한발 더 나가서 이번에는 세계의 변화의 속도가 얼마나 빠르게 움직여왔는지 보여드리고 싶습니다.,"Now we can take away this -- and I would like to show you the rate of speed, the rate of change, how fast they have gone.",I would like to go one step further and show how quickly the pace of change in the world has moved.,I want to go one step further and show you how fast the pace of change in the world has been moving this time.,I want to take it a step further and show you how fast the world has been moving.
"한번 1920년으로 가 보지요, 일본을 봅시다.","And we go back to 1920, and I want to look at Japan.",Let's go back to 1920 and look at Japan.,Let's go back to 1920 and look at Japan.,"Let's go back to 1920, let's look at Japan."
그리고 스웨덴과 미국도 같이 보겠습니다.,And I want to look at Sweden and the United States.,Let's also look at Sweden and the United States.,And let's look at Sweden and the United States.,And let's look at Sweden and the United States.
경주를 할수있는 무대를 마련하죠. 여기 노란색나는 포드와 그리고 저 빨간 도요타와 그리고 갈색의 볼보의 경주입니다.,"And I'm going to stage a race here between this sort of yellowish Ford here and the red Toyota down there, and the brownish Volvo.",We prepare a stage for racing. Here's a race between the yellow Ford and that red Toyota and the brown Volvo.,"We set the stage for the race. Here is a yellow Ford race, that red Toyota, and a brown Volvo.",It sets the stage for a race between the yellow Ford here and the red Toyota there and the brown Volvo.
"자 시작합니다, 출발했습니다",And here we go. Here we go.,"Here we go, we're off","Let's start, we're off","Here we go, here we go"
보시듯이 도요타가 저조한 출발을 합니다 미국의 포드가 저기서 길을 탈선하는군요,"The Toyota has a very bad start down here, you can see, and the United States Ford is going off-road there.","As you can see, Toyota is off to a slow start. Ford in the US is going off the rails there.","As you can see, Toyota is off to a bad start, and Ford in the United States is derailing the road over there.","As you can see, Toyota is off to a slow start. Ford in the U.S. is derailing over there."
볼보는 아주 잘하고 있네요,And the Volvo is doing quite fine.,Volvo is doing very well.,Volvo is doing very well,Volvo is doing very well
"이건 전쟁입니다. 도요타가 잠깐 도로를 탈선하는군요, 그리고 이젠 다시 도요타가 스웨덴보다 건강한 쪽에서 달립니다. 보이세요?","This is the war. The Toyota got off track, and now the Toyota is coming on the healthier side of Sweden -- can you see that?","This is war. Toyota goes off the road for a moment, and now Toyota is on the healthier side of Sweden again. Can you see it?","This is a war. Toyota is derailing the road for a while, and now Toyota is running on the healthier side of Sweden again. Do you see it?","It's a war. Toyota derails for a second, and now Toyota is back on the healthier side of the road than Sweden. Do you see it?"
이제 도요타가 스웨덴을 추월합니다 이제 스웨덴보다 건강하네요!,"And they are taking over Sweden, and they are now healthier than Sweden.",Toyota has now overtaken Sweden. It is now healthier than Sweden!,Now Toyota overtakes Sweden Now it's healthier than Sweden!,Toyota now overtakes Sweden We're now healthier than Sweden!
그때 제가 볼보를 팔고 도요타를 샀죠,That's the part where I sold the Volvo and bought the Toyota.,That's when I sold my Volvo and bought a Toyota.,That's when I sold Volvo and bought Toyota,That's when I sold my Volvo and bought a Toyota.
이제 보시면 일본의 가속력이 엄청 빠른걸 보실수있어요,And now we can see that the rate of change was enormous in Japan.,"If you look now, you can see that Japan’s acceleration is very fast.","If you look at it now, you can see that Japan's acceleration is very fast",Now you can see that Japan's acceleration is really fast.
정말 빠르게 따라잡았지요.,They really caught up.,We caught up really quickly.,I caught up really quickly.,They caught on really quickly.
그리고 이건 천천이 바뀝니다.,And this changes gradually.,And this changes all the time.,And this is a thousand changes.,And this is a slowdown.
세대를 거쳐서 봐야 이해할 수 있죠.,We have to look over generations to understand it.,You can understand it only after passing through generations.,You have to look at it through generations to understand.,It takes generations to understand.
자 이제 여기서 제 가족의 역사를 보여드리려고 합니다. 이런 그래프들을 만들었는데요,And let me show you my own sort of family history -- we made these graphs here.,"Now, I'd like to show you my family's history here. I made these graphs","Now, I would like to show you the history of my family here. I made these graphs","So now I'm going to show you my family history here, and I've created these graphs."
"똑 같은 그래프입니다, 돈이 아래쪽에, 건강은 여기, 아시겠죠?","And this is the same thing, money down there, and health, you know?","It's the same graph, money is at the bottom, health is here, okay?","It's the same graph, money is at the bottom, health is here, you know?","It's the same graph, money is at the bottom, health is here, okay?"
제 가족을 보여드리지요.,And this is my family.,Let me show you my family.,Let me show you my family.,Let me show you my family.
"스웨덴의 1830년, 제 증조할머니의 증조할머니가 태어나셨어요.","This is Sweden, 1830, when my great-great-grandma was born.","In 1830 in Sweden, my great-grandmother's great-grandmother was born.","In 1830 in Sweden, my great-grandmother's great-grandmother was born.","In 1830 in Sweden, my great-great-great-great-grandmother was born."
스웨덴은 지금의 시에라 리온 같았습니다.,Sweden was like Sierra Leone today.,Sweden was like Sierra Leone today.,Sweden was like Sierra Leone today.,Sweden was like Sierra Leone today.
"1863년이 증조할머니가 태어나신 년도이고,","And this is when great-grandma was born, 1863.",1863 is the year my great-grandmother was born.,"1863 was the year my great-grandmother was born,","1863 is the year your great-grandmother was born,"
그때 스웨덴은 지금의 모잠빅 같았지요.,And Sweden was like Mozambique.,"At that time, Sweden was like Mozambique today.","At that time, Sweden was like Mozambique today.",Sweden was then like Mozambique is now.
그리고 1891년에 제 할머니가 태어나셨습니다.,"And this is when my grandma was born, 1891.","And in 1891, my grandmother was born.","And in 1891, my grandmother was born.","And in 1891, my grandmother was born."
제가 어릴때 절 돌보아 주셨는데- 그러니까- 지금 저는 통계를 말씀드리는 것이 아니고 제 가족의 역사를 풀어내는 것인데요.,"She took care of me as a child, so I'm not talking about statistic now -- now it's oral history in my family.","He took care of me when I was young, so- I'm not talking about statistics, I'm just unraveling my family's history.","He took care of me when I was a child - I mean- now I'm not talking about statistics, I'm talking about the history of my family.","He took care of me when I was a kid, and I mean, I'm not talking about statistics, I'm talking about unraveling my family history."
'할머니 검증' 이 이루어진 통계를 봤을 때 비로소 제가 통계를 믿게 되었죠.,"That's when I believe statistics, when it's grandma-verified statistics.",It was only when I saw the statistics that ‘grandmother verification’ was done that I started to believe in statistics.,"When I saw the statistics that were 'grandmother verified', I finally came to believe in statistics.","It wasn't until I saw the ""grandma-validated"" stats that I started to believe them."
제 생각엔 이게 역사적인 통계를 검증하는 가장 좋은 방법인 것 같습니다.,I think it's the best way of verifying historical statistics.,I think this is the best way to verify historical statistics.,I think this is the best way to verify historical statistics.,"In my opinion, this is the best way to validate historical statistics."
스웨덴은 가나 같았어요.,Sweden was like Ghana.,Sweden was like Ghana.,Sweden was like Ghana.,Sweden was like Ghana.
아프리카의 사하라 사막 근방에서 벌어지는 이런 셀수없는 다양성을 보면 참 신기합니다.,It's interesting to see the enormous diversity within sub-Saharan Africa.,It's amazing to see this incredible diversity occurring near the Sahara Desert in Africa.,It's amazing to see such countless diversity taking place near the Sahara Desert in Africa.,It's fascinating to see the incredible diversity that's happening around the Sahara Desert in Africa.
"작년에 이야기 한 것이지만, 한번 더 하겠습니다. 저희 어머니는 이집트에서 태어나셨고, 저는.. 누구냐하면,","I told you last year, I'll tell you again, my mother was born in Egypt, and I -- who am I?","I said this last year, but I'll say it again. My mother was born in Egypt, and I...","I talked about it last year, but I'll do it again. My mother was born in Egypt, and I was... Who,","I told you this last year, but I'll tell you it again: My mom was born in Egypt, and I was born in.... Who is,"
전 우리가족의 멕시코인입니다.,I'm the Mexican in the family.,My family is Mexican.,I am a Mexican in my family.,I'm a Mexican from a family of weasels.
그리고 제 딸은 칠레에서 태어났고 제 손녀딸은 싱가폴에서 태어났어요 싱가폴은 지구에서 가장 건강한 나라입니다.,"And my daughter, she was born in Chile, and the grand-daughter was born in Singapore, now the healthiest country on this Earth.",And my daughter was born in Chile and my granddaughter was born in Singapore. Singapore is the healthiest country on Earth.,"And my daughter was born in Chile and my granddaughter was born in Singapore, which is the healthiest country on the planet.","And my daughter was born in Chile, and my granddaughter was born in Singapore, and Singapore is the healthiest country on the planet."
한 2-3년 전에 아동생존율에서 스웨덴을 추월했지요.,"It bypassed Sweden about two to three years ago, with better child survival.","About 2-3 years ago, we overtook Sweden in child survival rate.","Two or three years ago, it overtook Sweden in child survival rates.",We overtook Sweden in child survival about 2-3 years ago.
"아시겠지만, 싱가폴은 굉장히 작은 나라입니다.","But they're very small, you know?","As you know, Singapore is a very small country.","As you know, Singapore is a very small country.","As you may have noticed, Singapore is a very small country."
모두들 병원이 너무 가까이 있어서 숲속에 사는 우리 스웨덴 사람들은 도저히 이길수가 없죠.,They're so close to the hospital we can never beat them out in these forests.,Everyone is so close to the hospital that we Swedes who live in the woods just can't beat it.,Everyone's hospital is so close that we Swedes who live in the forest can't beat it.,Everyone is so close to the hospital that we Swedes who live in the woods can't win.
하지면 싱가폴에 경의를 표합니다.,But homage to Singapore.,"If you do this, pay your respects to Singapore.",Salute to Singapore.,to pay homage to Singapore.
지금 싱가폴은 최고에요.,Singapore is the best one.,Singapore is the best right now.,Singapore is the best right now.,Singapore is the best right now.
지금 이 모든 것이 다 좋은 이야기로 들리실 겁니다,Now this looks also like a very good story.,Now this all sounds like a good story.,All of this sounds like a good story right now,This all sounds like a good thing right now.
"하지만 이 모두가 좋은 이야기가 될만큼 단순하지는 않습니다,","But it's not really that easy, that it's all a good story.","But not all of this is simple enough to make a good story,","But not all of this is simple enough to be a good story,","But not all of this is simple enough to make a good story,"
한가지 더 보여드려야 하는 것이 있지요.,Because I have to show you one of the other facilities.,There's one more thing I have to show you.,There is one more thing I need to show you.,There's one more thing we need to show you.
색깔을 변수로 한번 만들어볼게요 이제 제가 무엇을 선택할까요?,We can also make the color here represent the variable -- and what am I choosing here?,Let's make the color a variable. Now what should I choose?,"Let's make the color a variable, now what will I choose?",Let's make color a variable. Now what do I choose?
"인구당 톤으로의, 이산화탄소 배출량입니다.","Carbon-dioxide emission, metric ton per capita.",Carbon dioxide emissions in tons per capita.,"In tons per population, carbon dioxide emissions.","Carbon dioxide emissions, in tons per capita."
